Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,
9,0.186097838344531,0.127849401038553,STM1620,STM2167,STM2081,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,,,
10,0.186190348804447,0.12791295589386,STM3646,STM1135,STM2167,STM2081,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,,
11,0.186097838344533,0.127849401136398,STM1886,STM0169,STM0861,STM1620,STM2167,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,
11,0.186097838344533,0.127849401136398,STM0169,STM0861,STM1620,STM2167,STM0974,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,
11,0.186097838344549,0.127849401071947,STM1886,STM1620,STM2167,STM3542,STM4485,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,
11,0.186097838344549,0.127849401071947,STM1620,STM2167,STM3542,STM4485,STM0974,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,
11,0.139111841740169,0.0955699743898457,STM0737,STM1570,STM1620,STM4036,STM2167,STM2081,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,,
12,0.186190348804422,0.127912955832123,STM3646,STM1135,STM2167,STM3542,STM4485,STM0974,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,
12,0.186190348804419,0.127912955823279,STM3646,STM1886,STM0169,STM0861,STM1135,STM2167,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,
12,0.186190348804419,0.127912955823279,STM3646,STM0169,STM0861,STM1135,STM2167,STM0974,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,
12,0.13918814501571,0.0956223948118038,STM3646,STM0737,STM1135,STM1570,STM4036,STM2167,STM2081,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,,
13,0.186190348804419,0.127912955827652,STM3646,STM4482,STM1886,STM3512,STM3541,STM1135,STM2167,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,
13,0.13911184174017,0.0955699743887963,STM0737,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,
13,0.186190348804419,0.127912955827652,STM3646,STM4482,STM3512,STM3541,STM1135,STM2167,STM0974,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,,
13,0.075213516187548,0.0516595762454304,STM3680,STM1570,STM1620,STM4036,STM2167,STM2081,STM1211,STM2317,STM0935,STM1480,STM0733,STM0007,STM2473,,,,,,,,,,,
14,0.13918814501571,0.095622394812827,STM3646,STM0737,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,
14,0.13918814501571,0.095622394814305,STM3646,STM0737,STM1886,STM0169,STM0861,STM1135,STM1570,STM4036,STM2167,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,
14,0.13911184174017,0.0955699743892839,STM4482,STM0737,STM1886,STM3512,STM3541,STM1570,STM1620,STM4036,STM2167,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,
14,0.138386742208132,0.0950718302830384,STM0620,STM0737,STM2654,STM2555,STM3680,STM2081,STM4184,STM0935,STM1480,STM2338,STM2466,STM3218,STM0007,STM2473,,,,,,,,,,
14,0.120977055288615,0.0831113579597577,STM1749,STM2463,STM3680,STM1886,STM0169,STM0861,STM1620,STM2167,STM0974,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,
14,0.0752135258126437,0.0517620236807918,STM0737,STM3680,STM1570,STM1620,STM4036,STM2167,STM2081,STM4184,STM1211,STM2317,STM0935,STM1480,STM0007,STM2473,,,,,,,,,,
14,0.0752679096593236,0.0517040862533053,STM3646,STM3680,STM1135,STM1570,STM4036,STM2167,STM2081,STM1211,STM2317,STM0935,STM1480,STM0733,STM0007,STM2473,,,,,,,,,,
14,0.13918814501571,0.095622394814305,STM3646,STM0737,STM0169,STM0861,STM1135,STM1570,STM4036,STM2167,STM0785,STM1211,STM2317,STM1480,STM0007,STM2473,,,,,,,,,,
15,0.165252283552998,0.113529971322995,STM0620,STM1749,STM2463,STM1511,STM1620,STM2167,STM2081,STM1211,STM2317,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,,,
15,0.158120720673927,0.108628618903585,STM0620,STM2792,STM0737,STM2654,STM3680,STM2081,STM4183,STM0974,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,,,
15,0.0597222091972569,0.0410256938300502,STM2285,STM3526,STM1620,STM2167,STM2081,STM0974,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM1937,STM0007,STM2473,,,,,,,,,
15,0.0259760135424676,0.0178429496782754,STM1749,STM2463,STM1620,STM2167,STM2081,STM0974,STM1211,STM2317,STM0935,STM1480,STM2338,STM2466,STM0733,STM0007,STM2473,,,,,,,,,
16,0.142411257089917,0.0978366760315396,STM0620,STM1749,STM2463,STM0737,STM2654,STM2555,STM0934,STM2081,STM4184,STM0935,STM1480,STM2338,STM2466,STM3218,STM0007,STM2473,,,,,,,,
16,0.106709638627059,0.0733096284425383,STM1749,STM2463,STM2285,STM3526,STM1620,STM2167,STM2081,STM0974,STM0150,STM0568,STM1211,STM2317,STM3179,STM1937,STM0007,STM2473,,,,,,,,
16,0.0650589694478376,0.044692974711017,STM4482,STM3680,STM1886,STM3512,STM3541,STM1570,STM1620,STM4036,STM2167,STM1211,STM2317,STM0935,STM1480,STM0733,STM0007,STM2473,,,,,,,,
16,0.0650589674284667,0.0446929733397725,STM0737,STM3680,STM1886,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM4184,STM1211,STM2317,STM0935,STM1480,STM0007,STM2473,,,,,,,,
16,0.0642369090589754,0.0441177806699105,STM3646,STM2285,STM3526,STM1135,STM1570,STM4036,STM2167,STM2081,STM1211,STM2317,STM0935,STM3179,STM1480,STM0733,STM0007,STM2473,,,,,,,,
