Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
5,0.652621170543497,5.07988899527258,b1479,b2463,b0767,b1676,b1854,,,
5,0.652621170543497,5.07988899527258,b2029,b1479,b2463,b1676,b1854,,,
5,0.652621170543497,5.07988899527258,b1852,b1479,b2463,b1676,b1854,,,
5,0.572635370169863,0.0690025621054708,b3236,b0767,b1676,b1854,b0721,,,
5,0.572635370169863,0.0690025621054708,b1852,b3236,b1676,b1854,b0721,,,
5,0.572635370169863,0.0690025621054708,b2029,b3236,b1676,b1854,b0721,,,
6,0.753123272968211,2.87525786843594,b1479,b2463,b1603,b3962,b1676,b1854,,
6,0.484642645462767,0.0583994387782667,b0727,b4015,b3236,b0767,b1676,b1854,,
6,0.484642645462767,0.0583994387782667,b1852,b4015,b3236,b1676,b1854,b0729,,
6,0.484642645462767,0.0583994387782667,b4015,b3236,b0767,b1676,b1854,b0729,,
6,0.484642645462767,0.0583994387782667,b0727,b1852,b4015,b3236,b1676,b1854,,
6,0.484642645462767,0.0583994387782667,b2029,b4015,b3236,b1676,b1854,b0729,,
6,0.484642645462767,0.0583994387782667,b0727,b2029,b4015,b3236,b1676,b1854,,
7,0.579423725601948,3.97591500909633,b0727,b4015,b3236,b1603,b3962,b1676,b1854,
7,0.579423725601948,3.97591500909633,b4015,b3236,b1603,b3962,b1676,b1854,b0729,
7,0.572635370169863,0.0690025621054708,b1611,b4122,b1612,b1852,b3236,b1676,b1854,
7,0.572635370169863,0.0690025621054708,b1611,b4122,b1612,b3236,b0767,b1676,b1854,
7,0.484642645462767,0.0583994387782667,b0727,b1852,b4014,b2976,b3236,b1676,b1854,
7,0.484642645462767,0.0583994387782667,b4014,b2976,b3236,b0767,b1676,b1854,b0729,
7,0.484642645462767,0.0583994387782667,b0727,b4014,b2976,b3236,b0767,b1676,b1854,
7,0.572635370169863,0.0690025621054708,b1611,b4122,b1612,b2029,b3236,b1676,b1854,
7,0.484642645462767,0.0583994387782667,b2029,b4014,b2976,b3236,b1676,b1854,b0729,
7,0.484642645462767,0.0583994387782667,b1852,b4014,b2976,b3236,b1676,b1854,b0729,
7,0.484642645462767,0.0583994387782667,b0727,b2029,b4014,b2976,b3236,b1676,b1854,
8,0.579423725601948,3.97591500909633,b0727,b4014,b2976,b3236,b1603,b3962,b1676,b1854
8,0.579423725601948,3.97591500909633,b4014,b2976,b3236,b1603,b3962,b1676,b1854,b0729
