Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,
7,0.219587804559825,0.0876429824946102,CLJU_RS12800,CLJU_RS05805,CLJU_RS19620,CLJU_RS18530,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,,,,
10,0.208958830348724,0.126754113051746,CLJU_RS18515,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS08715,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
10,0.202037432275993,0.122555603358162,CLJU_RS11895,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
10,0.202037432275993,0.122555603358162,CLJU_RS18515,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
10,0.202037432275993,0.122555603358162,CLJU_RS11895,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
10,0.202037432275993,0.122555603358162,CLJU_RS18515,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
10,0.208958830348724,0.126754113051746,CLJU_RS11895,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS08715,CLJU_RS04405,CLJU_c06990,CLJU_c20040,,,,,
14,0.0984591431921967,0.0486302097754812,CLJU_RS06265,CLJU_RS09865,CLJU_RS09915,CLJU_RS03525,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040,
14,0.0984591431921967,0.0486302097754812,CLJU_RS09865,CLJU_RS09915,CLJU_RS03525,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS06260,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040,
14,0.0984591431921967,0.0486302097754812,CLJU_RS09865,CLJU_RS09915,CLJU_RS03525,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS06260,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040,
14,0.0984591431921967,0.0486302097754812,CLJU_RS06265,CLJU_RS09865,CLJU_RS09915,CLJU_RS03525,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040,
15,0.0984591431921967,0.0486302097754812,CLJU_RS19875,CLJU_RS16355,CLJU_RS09865,CLJU_RS09915,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS06260,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040
15,0.0984591431921967,0.0486302097754812,CLJU_RS19875,CLJU_RS16355,CLJU_RS06265,CLJU_RS09865,CLJU_RS09915,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18510,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040
15,0.0984591431921967,0.0486302097754812,CLJU_RS19875,CLJU_RS16355,CLJU_RS09865,CLJU_RS09915,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS06260,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040
15,0.0984591431921967,0.0486302097754812,CLJU_RS19875,CLJU_RS16355,CLJU_RS06265,CLJU_RS09865,CLJU_RS09915,CLJU_RS12800,CLJU_RS05805,CLJU_RS07210,CLJU_RS03475,CLJU_RS19620,CLJU_RS18495,CLJU_RS01595,CLJU_RS04405,CLJU_c06990,CLJU_c20040
