Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
4,0.206152609607259,0.460539260663462,CLJU_RS03525,CLJU_RS07210,CLJU_RS03475,CLJU_RS18495,,,,
4,0.149928990515966,0.451486491654066,CLJU_RS07210,CLJU_RS03475,CLJU_RS18510,CLJU_RS01595,,,,
4,0.149928990515966,0.451486491654066,CLJU_RS07210,CLJU_RS03475,CLJU_RS18495,CLJU_RS01595,,,,
4,0.134858673264704,0.409205785485984,CLJU_RS06265,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,,,,
4,0.215078376822687,0.137272160920835,CLJU_RS11880,CLJU_RS07210,CLJU_RS03475,CLJU_RS18530,,,,
4,0.215078376822687,0.137272160920835,CLJU_RS11895,CLJU_RS07210,CLJU_RS03475,CLJU_RS18530,,,,
4,0.209136038579012,0.133479508098246,CLJU_RS07210,CLJU_RS03475,CLJU_RS18510,CLJU_RS18530,,,,
4,0.209136038579012,0.133479508098246,CLJU_RS07210,CLJU_RS03475,CLJU_RS18495,CLJU_RS18530,,,,
4,0.134858673264704,0.409205785485984,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS06260,,,,
4,0.206152609607259,0.460539260663462,CLJU_RS03525,CLJU_RS07210,CLJU_RS03475,CLJU_RS18510,,,,
5,0.206152609607259,0.460539260663462,CLJU_RS19875,CLJU_RS16355,CLJU_RS07210,CLJU_RS03475,CLJU_RS18510,,,
5,0.213098285057358,0.101500793684106,CLJU_RS12245,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS01595,,,
5,0.206152609607259,0.460539260663462,CLJU_RS19875,CLJU_RS16355,CLJU_RS07210,CLJU_RS03475,CLJU_RS18495,,,
6,0.160018337452842,4.39603673722964,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS18495,,
6,0.160018337452842,4.39603673722964,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS18510,,
8,0.221036549258345,0.46642569148879,CLJU_RS12245,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475
