Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.340893038662815,0.0915891081188471,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.340893038662814,0.0915891081188467,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.340893038662814,0.0915891081188469,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.340893038662668,0.0915891081188076,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.347705898622813,0.0582453654401734,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.347705898622801,0.0582453654401765,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
2,0.340893038662815,0.091589108118847,PHATRDRAFT_10454,PHATRDRAFT_42245,,,,
3,0.340893038662814,0.0915891081188467,PHATRDRAFT_10454,PHATRDRAFT_25932,PHATRDRAFT_11014,,,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
4,0.336762592860945,0.11180448356681,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,
4,0.336762592860946,0.111804483566804,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.340053689318226,0.0956970816758829,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.340053689318226,0.0956970816758829,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.347705898622861,0.0582453654401865,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_10454,PHATRDRAFT_51970,,
4,0.350808310118136,0.043061432232867,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,,
4,0.350808310118246,0.0430614322330877,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.350808310118134,0.0430614322328646,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.350808310118136,0.043061432232867,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,PHATRDRAFT_10693,,
4,0.354381118482984,0.0255752658574381,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.349881624235652,0.0475968513926137,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_43469,,
4,0.354381118482874,0.025575265857294,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,
5,0.336762592860945,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367,
5,0.336762592860945,0.111804483566804,PHATRDRAFT_45947,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_28068,
5,0.347023238950009,0.0615864628063218,PHATRDRAFT_14401,PHATRDRAFT_19708,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,
5,0.350808310118136,0.0430614322328649,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681,
5,0.350808310118135,0.0430614322328648,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_31367,
6,0.351410855672266,0.0401124322494588,PHATRDRAFT_42015,PHATRDRAFT_10454,PHATRDRAFT_18064,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_16649
