Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
4,0.322300888277497,0.0260833535628553,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.322300888277269,0.0260833535627777,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_23913,,,
4,0.322300888277324,0.0260833535628449,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,
4,0.322300888277212,0.0260833535625959,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_51245,,,
4,0.322300888277269,0.0260833535629447,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,
4,0.322300888277212,0.0260833535625959,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_51830,,,
4,0.322300888277269,0.0260833535629447,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.322300888277497,0.0260833535628553,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.322300888277212,0.0260833535625959,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_46728,,,
4,0.322300888277497,0.0260833535628553,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.322300888277212,0.0260833535625959,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51245,,,
5,0.322300888277357,0.0260833535628326,PHATRDRAFT_13643,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,
6,0.322300888277268,0.0260833535628035,PHATRDRAFT_13643,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_41886,PHATRDRAFT_39681,
6,0.322300888277271,0.0260833535627889,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,
6,0.322300888277157,0.026083353562796,PHATRDRAFT_55192,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_41886,PHATRDRAFT_39681,
7,0.322300888277268,0.026083353562796,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_44384
7,0.322300888277157,0.026083353562796,PHATRDRAFT_54219,Phatr3_EG02215,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681
7,0.322300888277262,0.0260833535628296,PHATRDRAFT_23467,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_29016,PHATRDRAFT_41886,PHATRDRAFT_39681
