Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.323119524575376,0.0255109822744856,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_28181,,
3,0.323119524575379,0.025510982273582,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970,,
4,0.323119524575372,0.0255109822735252,PHATRDRAFT_54015,PHATRDRAFT_12331,PHATRDRAFT_21970,PHATRDRAFT_31436,
4,0.323119524575234,0.025510982273186,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_51970,PHATRDRAFT_28181,
4,0.323119524575341,0.0255109822736398,PHATRDRAFT_54015,PHATRDRAFT_38085,PHATRDRAFT_35580,PHATRDRAFT_28181,
4,0.323119524575151,0.0255109822734907,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_38085,PHATRDRAFT_21970,
4,0.323119524575341,0.0255109822736398,PHATRDRAFT_54015,PHATRDRAFT_35691,PHATRDRAFT_35580,PHATRDRAFT_28181,
4,0.323119524575234,0.025510982273186,PHATRDRAFT_54015,PHATRDRAFT_35691,PHATRDRAFT_51970,PHATRDRAFT_28181,
4,0.323119524575346,0.0255109822735449,PHATRDRAFT_54015,PHATRDRAFT_12331,PHATRDRAFT_35580,PHATRDRAFT_28181,
4,0.323119524575207,0.0255109822735288,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_20318,PHATRDRAFT_21970,
4,0.323119524575372,0.0255109822736017,PHATRDRAFT_54015,PHATRDRAFT_35691,PHATRDRAFT_31436,PHATRDRAFT_28181,
4,0.323119524575377,0.0255109822736022,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_20318,PHATRDRAFT_28181,
4,0.323119524575372,0.0255109822735585,PHATRDRAFT_54015,PHATRDRAFT_38946,PHATRDRAFT_21970,PHATRDRAFT_51970,
4,0.323119524575379,0.0255109822735868,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_38085,PHATRDRAFT_28181,
4,0.323119524575372,0.0255109822736017,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181,YP_874486_AT1,
4,0.323119524575372,0.025510982273488,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_12331,PHATRDRAFT_28181,
4,0.323119524575372,0.0255109822736017,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_35691,PHATRDRAFT_28181,
4,0.323119524575207,0.0255109822735288,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_21970,YP_874486_AT1,
4,0.323119524575372,0.0255109822735252,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_35691,PHATRDRAFT_21970,
4,0.323119524575132,0.0255109822734709,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_38946,PHATRDRAFT_28181,
4,0.323119524575372,0.0255109822735252,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_12331,PHATRDRAFT_21970,
5,0.323119524575328,0.0255109822735383,PHATRDRAFT_55192,PHATRDRAFT_54015,PHATRDRAFT_35240,PHATRDRAFT_20318,PHATRDRAFT_28181
5,0.323119524575345,0.0255109822736017,PHATRDRAFT_54015,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_20318,PHATRDRAFT_28181
