Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.323119524575261,0.0255109822735117,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970,,
4,0.323119524575369,0.0255109822735239,PHATRDRAFT_54015,PHATRDRAFT_5423,PHATRDRAFT_21970,PHATRDRAFT_35580,
4,0.323119524575231,0.0255109822735068,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_47293,PHATRDRAFT_28181,
4,0.323119524575231,0.0255109822735068,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_35691,PHATRDRAFT_28181,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_20318,PHATRDRAFT_21970,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_20318,PHATRDRAFT_23723,PHATRDRAFT_21970,
4,0.323119524575374,0.025510982273582,PHATRDRAFT_54015,PHATRDRAFT_12331,PHATRDRAFT_21970,PHATRDRAFT_51970,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_20318,PHATRDRAFT_21970,
4,0.323119524575231,0.0255109822735068,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_47293,PHATRDRAFT_28181,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_38946,PHATRDRAFT_21970,
4,0.323119524575369,0.0255109822733562,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_5423,PHATRDRAFT_21970,
4,0.323119524575345,0.0255109822735098,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_12331,PHATRDRAFT_28181,
4,0.323119524575378,0.0255109822735737,PHATRDRAFT_54015,PHATRDRAFT_38085,PHATRDRAFT_51970,PHATRDRAFT_28181,
4,0.323119524575372,0.0255109822735253,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_12331,PHATRDRAFT_21970,
4,0.323119524575231,0.0255109822735068,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_38946,PHATRDRAFT_28181,
4,0.323119524575373,0.0255109822735189,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_51970,YP_874486_AT1,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_20318,PHATRDRAFT_21970,
4,0.323119524575371,0.0255109822735583,PHATRDRAFT_54015,PHATRDRAFT_12331,PHATRDRAFT_51970,PHATRDRAFT_28181,
4,0.323119524575359,0.0255109822735733,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_47293,PHATRDRAFT_21970,
4,0.32311952457538,0.0255109822735249,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_5423,PHATRDRAFT_21970,
5,0.323119524575345,0.0255109822735484,PHATRDRAFT_54015,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_21970,YP_874486_AT1
