Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,
9,0.299140694438443,0.0422764176102647,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_23913,Phatr3_EG01947,PHATRDRAFT_5423,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,,
9,0.343083062894675,0.0115529447518063,PHATRDRAFT_18337,PHATRDRAFT_38509,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_23913,Phatr3_EG02011,PHATRDRAFT_50149,YP_874486_AT1,,
9,0.343083062894659,0.0115529447517707,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_29702,PHATRDRAFT_23913,PHATRDRAFT_38946,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,,
9,0.299140694438336,0.0422764176104045,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_23913,Phatr3_EG01947,PHATRDRAFT_12331,Phatr3_EG02011,PHATRDRAFT_50149,,
10,0.293953077756466,0.0459034774599268,PHATRDRAFT_50577,PHATRDRAFT_38509,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_20905,PHATRDRAFT_23913,PHATRDRAFT_47293,Phatr3_EG02011,PHATRDRAFT_50149,
10,0.293953077756494,0.0459034774602239,PHATRDRAFT_3969,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_29702,PHATRDRAFT_20905,PHATRDRAFT_23913,PHATRDRAFT_12331,Phatr3_EG02011,PHATRDRAFT_50149,
10,0.293953077756453,0.0459034774598653,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_36913,PHATRDRAFT_20905,PHATRDRAFT_23913,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_39772,YP_874486_AT1,
10,0.299140694438358,0.0422764176106337,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_55069,PHATRDRAFT_38946,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_23365,
10,0.299140694438304,0.0422764176103878,PHATRDRAFT_18337,Phatr3_EG02215,PHATRDRAFT_54476,PHATRDRAFT_45451,Phatr3_EG01947,PHATRDRAFT_5423,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_31436,
10,0.299140694438277,0.0422764176102505,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20310,PHATRDRAFT_47293,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_23365,
10,0.324938798818752,0.0242389884144539,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20905,PHATRDRAFT_20318,Phatr3_EG01947,PHATRDRAFT_23723,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_44384,
10,0.324938798818987,0.0242389884141607,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_20905,Phatr3_EG01947,PHATRDRAFT_23723,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_44384,YP_874486_AT1,
10,0.32493879881864,0.0242389884142125,PHATRDRAFT_49112,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20905,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_31436,YP_874486_AT1,
10,0.324938798818783,0.0242389884142716,Phatr3_EG02215,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20905,PHATRDRAFT_31544,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_35580,
10,0.343083062894654,0.0115529447514234,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_29702,PHATRDRAFT_17720,PHATRDRAFT_35691,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_36390,
10,0.343083062894604,0.0115529447517868,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_29702,PHATRDRAFT_17720,PHATRDRAFT_31544,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_23365,
10,0.343083062894701,0.0115529447519844,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_29702,PHATRDRAFT_22803,PHATRDRAFT_38085,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_36390,
10,0.34308306289464,0.0115529447514948,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_19979,PHATRDRAFT_38946,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_39772,PHATRDRAFT_36390,
10,0.299140694438332,0.0422764176102375,PHATRDRAFT_18337,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_38946,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_35580,PHATRDRAFT_44384,
10,0.32493879881864,0.0242389884142125,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20905,PHATRDRAFT_22803,PHATRDRAFT_38946,Phatr3_EG01947,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_36390,
11,0.293953077756466,0.0459034774599505,PHATRDRAFT_12762,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_20905,PHATRDRAFT_11319,PHATRDRAFT_35691,Phatr3_EG02011,PHATRDRAFT_35566,PHATRDRAFT_50149,PHATRDRAFT_39772,PHATRDRAFT_23365
11,0.293953077756466,0.0459034774597892,PHATRDRAFT_49112,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_36913,PHATRDRAFT_1769,PHATRDRAFT_20905,PHATRDRAFT_55069,PHATRDRAFT_47293,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_39772
11,0.293953077756466,0.0459034774597892,PHATRDRAFT_50577,PHATRDRAFT_49112,PHATRDRAFT_54476,PHATRDRAFT_45451,PHATRDRAFT_1769,PHATRDRAFT_20905,PHATRDRAFT_11319,PHATRDRAFT_20318,Phatr3_EG02011,PHATRDRAFT_50149,PHATRDRAFT_39772
