Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
2,0.219431851250859,0.0551711437359894,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,,
2,0.219431851250216,0.0551711437358277,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,,
4,0.261562078012076,0.051684060334751,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_43469,,,
4,0.301452322883098,0.0406601812471743,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51245,,,
4,0.301452322883168,0.0406601812472114,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_19708,PHATRDRAFT_23913,,,
4,0.301452322883098,0.0406601812471743,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51830,,,
4,0.301452322883095,0.0406601812472019,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.305901819829935,0.037549197395241,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,,,
5,0.176806056981369,0.0586992448429309,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_50372,PHATRDRAFT_20310,,
5,0.230514309572909,0.0542538579911946,PHATRDRAFT_14401,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
5,0.230514309572738,0.0542538579905337,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_31436,PHATRDRAFT_10693,,
5,0.301452322882983,0.0406601812471312,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_23913,,
6,0.261562078012196,0.0516840603351369,PHATRDRAFT_42015,PHATRDRAFT_10454,PHATRDRAFT_43469,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_23365,
6,0.301452322883083,0.0406601812471789,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_25572,PHATRDRAFT_23365,
6,0.301452322883095,0.0406601812471805,PHATRDRAFT_54219,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_44384,
7,0.301452322882963,0.0406601812471304,PHATRDRAFT_42015,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_29016,PHATRDRAFT_41886,PHATRDRAFT_39681
