Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
2,0.301649050709247,0.0405226337676612,PHATRDRAFT_10454,PHATRDRAFT_23913,,,
2,0.301649050709188,0.0405226337676532,PHATRDRAFT_10454,PHATRDRAFT_20310,,,
3,0.301649050709191,0.0405226337676536,PHATRDRAFT_10454,PHATRDRAFT_41886,PHATRDRAFT_39681,,
4,0.176806056979335,0.0586992448422556,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,
4,0.176806056979335,0.0586992448422556,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,
4,0.305901819830002,0.0375491973952492,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,
4,0.305901819830002,0.0375491973952492,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,
5,0.176806056981009,0.0586992448428115,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_50372,PHATRDRAFT_20310
5,0.176806056980779,0.0586992448427351,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367
5,0.305901819830001,0.037549197395249,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_10693
5,0.305901819830002,0.0375491973952492,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_10693
