Deletion size,Max growth rate,Min production rate,Deleted genes,,
1,0.348719504747746,0.05328453812318,Phatr3_EG02584,,
2,0.35389774913753,0.0279409893808067,PHATRDRAFT_draft521,PHATRDRAFT_55069,
2,0.35389774913753,0.0279409893808074,PHATRDRAFT_draft521,PHATRDRAFT_54478,
2,0.353897749137525,0.0279409893804981,PHATRDRAFT_draft521,PHATRDRAFT_31544,
2,0.35389774913753,0.0279409893808067,PHATRDRAFT_draft521,PHATRDRAFT_17720,
2,0.353897749137528,0.0279409893784199,PHATRDRAFT_draft521,PHATRDRAFT_51970,
2,0.35389774913753,0.0279409893808067,PHATRDRAFT_draft521,PHATRDRAFT_22803,
3,0.353897749137529,0.0279409893808003,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
3,0.35389774913753,0.0279409893808067,PHATRDRAFT_draft521,PHATRDRAFT_18572,PHATRDRAFT_22418
3,0.35389774913753,0.0279409893807784,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970
3,0.353897749137528,0.0279409893812499,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970
3,0.353897749137529,0.0279409893808003,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_28181
3,0.353897749137415,0.027940989380518,PHATRDRAFT_54015,PHATRDRAFT_35580,PHATRDRAFT_28181
3,0.35389774913753,0.0279409893792634,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_51970
