Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
2,0.348367223628417,0.0275043424824667,PHATRDRAFT_draft521,PHATRDRAFT_31544,,,
3,0.345579349386755,0.0343265993512983,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_23913,,
3,0.345579349386877,0.0343265993522152,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_17720,,
3,0.348367223628421,0.0275043424824042,PHATRDRAFT_draft521,PHATRDRAFT_41969,PHATRDRAFT_47293,,
3,0.348367223628422,0.0275043424823478,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_35691,,
3,0.348367223628421,0.0275043424824042,PHATRDRAFT_draft521,PHATRDRAFT_22803,YP_874486_AT1,,
3,0.348367223628422,0.0275043424823478,PHATRDRAFT_draft521,PHATRDRAFT_20310,PHATRDRAFT_47293,,
3,0.348367223628365,0.0275043424823799,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_5423,,
3,0.348367223628421,0.0275043424824042,PHATRDRAFT_draft521,PHATRDRAFT_11319,PHATRDRAFT_38946,,
3,0.34836722362842,0.0275043424823908,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_28181,,
3,0.348367223628363,0.0275043424820842,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_23723,,
3,0.34836722362845,0.0275043424825628,PHATRDRAFT_draft521,PHATRDRAFT_47293,PHATRDRAFT_35580,,
3,0.348367223628393,0.0275043424824519,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_42245,,
3,0.348367223628421,0.0275043424824042,PHATRDRAFT_draft521,PHATRDRAFT_17720,PHATRDRAFT_20318,,
3,0.34836722362845,0.0275043424825628,PHATRDRAFT_draft521,PHATRDRAFT_5423,PHATRDRAFT_35580,,
3,0.34836722362842,0.0275043424823712,PHATRDRAFT_draft521,PHATRDRAFT_38085,PHATRDRAFT_51970,,
3,0.348367223628362,0.0275043424827634,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970,,
3,0.348367223628421,0.0275043424824042,PHATRDRAFT_draft521,PHATRDRAFT_11319,YP_874486_AT1,,
4,0.348367223628449,0.0275043424824597,PHATRDRAFT_54015,PHATRDRAFT_38946,PHATRDRAFT_23723,PHATRDRAFT_28181,
4,0.348367223628448,0.0275043424827466,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_47293,PHATRDRAFT_21970,
4,0.348367223628449,0.0275043424824597,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_38946,PHATRDRAFT_28181,
4,0.348367223628329,0.0275043424823042,PHATRDRAFT_54015,PHATRDRAFT_12331,PHATRDRAFT_23723,PHATRDRAFT_28181,
4,0.348367223628449,0.0275043424824597,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_28181,YP_874486_AT1,
4,0.348367223628418,0.0275043424821994,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_5423,PHATRDRAFT_21970,
4,0.348367223628329,0.0275043424826454,PHATRDRAFT_54015,PHATRDRAFT_20318,PHATRDRAFT_21970,PHATRDRAFT_51970,
4,0.348367223628421,0.0275043424824556,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_5423,PHATRDRAFT_28181,
4,0.345579349386893,0.0343265993521932,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_49229,PHATRDRAFT_28068,
4,0.300763964544185,0.141349265933791,PHATRDRAFT_draft521,PHATRDRAFT_54477,PHATRDRAFT_36257,PHATRDRAFT_42245,
4,0.34836722362842,0.0275043424823619,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_35580,PHATRDRAFT_28181,
4,0.348367223628418,0.0275043424821994,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_21970,YP_874486_AT1,
4,0.345579349386865,0.0343265993523214,PHATRDRAFT_49229,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_31436,
5,0.300763964544352,0.141349265937078,PHATRDRAFT_draft521,PHATRDRAFT_30145,PHATRDRAFT_36256,PHATRDRAFT_19979,PHATRDRAFT_51245
