Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.359606707775733,0.0283917239600607,PHATRDRAFT_draft521,PHATRDRAFT_51970,,
2,0.359606707775734,0.0283917239598233,PHATRDRAFT_draft521,PHATRDRAFT_42245,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_19979,,
2,0.359606707775733,0.0283917239589934,PHATRDRAFT_draft521,PHATRDRAFT_48078,,
2,0.359606707775731,0.0283917239592886,PHATRDRAFT_draft521,PHATRDRAFT_20310,,
2,0.359606707775675,0.0283917239590911,PHATRDRAFT_draft521,PHATRDRAFT_35580,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_17720,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_55069,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_23723,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_22803,,
2,0.359606707775732,0.0283917239589867,PHATRDRAFT_draft521,PHATRDRAFT_41969,,
3,0.359606707775731,0.20591661254722,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_30145,
3,0.359606707775732,0.0283917239598884,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_42245,
3,0.359606707775731,0.0283917239602784,PHATRDRAFT_54015,PHATRDRAFT_51970,PHATRDRAFT_28181,
3,0.359606707775731,0.0283917239590318,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_21970,
3,0.359606707775731,0.0283917239590323,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_21970,
3,0.359606707775733,0.028391723958979,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_28181,
3,0.359606707775698,0.0283917239593765,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_28181,
3,0.359606707775698,0.0283917239593765,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_28181,
3,0.359606707775731,0.0283917239589582,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_28181,
3,0.359606707775731,0.0283917239589434,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_21970,
3,0.359606707775683,0.0283917239590241,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181,
3,0.359606707775698,0.0283917239593765,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_28181,
3,0.359606707775736,0.0283917239589541,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_51970,
3,0.359606707775731,0.0283917239590323,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_21970,
3,0.359606707775731,0.0283917239590323,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_21970,
3,0.359606707775731,0.0283917239590323,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_21970,
3,0.359606707775698,0.0283917239593765,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_28181,
3,0.359606707775732,0.0283917239598974,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_21970,
3,0.359606707775731,0.0283917239590323,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_21970,
3,0.359606707775698,0.0283917239593765,PHATRDRAFT_54015,PHATRDRAFT_11319,PHATRDRAFT_28181,
4,0.359606707775733,0.0283917239589516,PHATRDRAFT_45947,PHATRDRAFT_54015,PHATRDRAFT_28068,PHATRDRAFT_28181
