Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
2,0.301649050709091,0.0405226337675425,PHATRDRAFT_10454,PHATRDRAFT_23913,,,
2,0.301649050709189,0.0405226337676534,PHATRDRAFT_10454,PHATRDRAFT_20310,,,
3,0.30164905070919,0.0405226337676535,PHATRDRAFT_10454,PHATRDRAFT_41886,PHATRDRAFT_39681,,
4,0.176806056980895,0.0586992448427737,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,
4,0.305901819830056,0.0375491973952558,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,
4,0.176806056980895,0.0586992448427737,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,
5,0.176806056981053,0.0586992448428258,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_10693
5,0.176806056981012,0.0586992448428123,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_10693
5,0.176806056981025,0.0586992448428169,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367
5,0.176806056981053,0.0586992448428258,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_18064
5,0.176806056981012,0.0586992448428123,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_50372,PHATRDRAFT_20310
5,0.305901819830055,0.0375491973952558,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_2215,PHATRDRAFT_20310
5,0.305901819829945,0.0375491973952422,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_31367
5,0.305901819829853,0.0375491973952309,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681
5,0.305901819829853,0.0375491973952309,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_10693
