Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775812,0.048308492552337,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775725,0.0483084925522802,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.359606707775734,0.0483084925522842,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.359606707775676,0.0483084925522736,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.35960670777562,0.030119454677201,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
2,0.35960670777562,0.0301194546772044,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
4,0.359606707775732,0.11938868242007,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,PHATRDRAFT_10693,,
4,0.359606707776107,0.119388682420164,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775662,0.119388682420016,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,
4,0.359606707775729,0.101199644544968,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.359606707775729,0.101199644544968,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.359606707775619,0.0441414283262325,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.359606707775731,0.0441414283263519,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,,
4,0.359606707775731,0.0441414283263519,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775619,0.0441414283262325,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,,
4,0.359606707775731,0.0259523904512811,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.359606707775731,0.0205239813578833,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_18064,,
5,0.359606707775732,0.119388682420039,PHATRDRAFT_45947,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_28068,PHATRDRAFT_10693,
5,0.359606707775731,0.11938868242061,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367,
5,0.359606707775731,0.11938868242061,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_10693,
5,0.35960670777573,0.0638196600333749,PHATRDRAFT_19708,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_41969,
6,0.359606707775731,0.101199644544963,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23723
