Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
4,0.322300888277269,0.0260833535630112,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.322300888277268,0.0260833535627997,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.322300888277267,0.0260833535628049,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_23913,,,,
4,0.355868184985536,0.0026138874058913,PHATRDRAFT_45947,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
4,0.355868184985567,0.00261388740553747,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
4,0.355868184985497,0.00261388740553698,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_51245,,,,
4,0.322300888277269,0.0260833535626788,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_23913,,,,
5,0.322300888277268,0.0260833535628334,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_16649,,,
5,0.322300888277556,0.0260833535631188,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_35240,,,
5,0.322300888277556,0.0260833535631188,PHATRDRAFT_55192,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_35240,,,
5,0.322300888277172,0.0260833535627818,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_35240,PHATRDRAFT_44384,,,
5,0.355868184985499,0.00261388740553699,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_35240,,,
5,0.355868184985499,0.00261388740553699,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_35240,,,
5,0.355868184985567,0.00261388740553747,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_859,PHATRDRAFT_23913,,,
5,0.355868184985465,0.0026138874055367,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365,,,
6,0.32230088827738,0.026083353562814,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_19708,PHATRDRAFT_41886,PHATRDRAFT_39681,,
6,0.322300888277265,0.0260833535628047,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_31367,Phatr3_EG02101,PHATRDRAFT_23365,,
6,0.322300888277158,0.026083353562796,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_23365,,
6,0.322300888277265,0.0260833535628047,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_25572,PHATRDRAFT_23365,,
6,0.355868184985607,0.00261388740553778,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_20445,,
6,0.355868184985611,0.00261388740553781,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_20310,Phatr3_EG02101,,
7,0.322300888277269,0.0260833535628016,PHATRDRAFT_45947,PHATRDRAFT_draft976,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_28068,Phatr3_EG02101,PHATRDRAFT_44384,
7,0.322300888277257,0.0260833535628041,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,
7,0.322300888277268,0.0260833535628049,PHATRDRAFT_draft976,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_20445,PHATRDRAFT_44384,
7,0.322300888277268,0.026083353562805,PHATRDRAFT_45947,PHATRDRAFT_draft976,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_28068,Phatr3_EG02101,PHATRDRAFT_36390,
7,0.322300888277159,0.0260833535630685,PHATRDRAFT_13643,PHATRDRAFT_45947,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_28068,Phatr3_EG02101,PHATRDRAFT_36390,
7,0.322300888277267,0.026083353563015,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_44384,
8,0.355868184985498,0.00261388740553698,PHATRDRAFT_55035,PHATRDRAFT_29016,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_44384
