Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
2,0.351664599853522,0.00555293548746312,PHATRDRAFT_draft521,PHATRDRAFT_23913,,,,,,
2,0.35166459985341,0.00555293548720956,PHATRDRAFT_draft521,PHATRDRAFT_20310,,,,,,
2,0.351664599853508,0.0055529354872989,PHATRDRAFT_26432,PHATRDRAFT_23913,,,,,,
2,0.351664599853466,0.00555293548672016,PHATRDRAFT_26432,PHATRDRAFT_20310,,,,,,
2,0.351664599853408,0.00555293548723057,PHATRDRAFT_26432,PHATRDRAFT_42245,,,,,,
2,0.351664599853411,0.00555293548722444,PHATRDRAFT_draft521,PHATRDRAFT_42245,,,,,,
3,0.308994277694434,0.0353870234250482,PHATRDRAFT_draft521,PHATRDRAFT_49229,PHATRDRAFT_30145,,,,,
3,0.351664599853413,0.0055529354870415,PHATRDRAFT_draft521,PHATRDRAFT_25932,PHATRDRAFT_11014,,,,,
3,0.351664599853077,0.00555293548724624,PHATRDRAFT_draft521,PHATRDRAFT_55192,PHATRDRAFT_35240,,,,,
3,0.351664599853317,0.00555293548710779,PHATRDRAFT_45947,PHATRDRAFT_26432,PHATRDRAFT_28068,,,,,
4,0.322300888277268,0.026083353562805,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
4,0.322300888277274,0.0260833535627921,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.355252642102084,0.00304426054508802,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
4,0.355252642102089,0.00304426054508806,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
5,0.348748966197967,0.00759147811978797,PHATRDRAFT_draft521,PHATRDRAFT_30145,PHATRDRAFT_36256,PHATRDRAFT_14962,PHATRDRAFT_38085,,,
5,0.348748966198076,0.00759147811980678,PHATRDRAFT_draft521,PHATRDRAFT_30145,PHATRDRAFT_36257,PHATRDRAFT_14962,PHATRDRAFT_12331,,,
5,0.348748966198078,0.00759147811979322,PHATRDRAFT_30145,PHATRDRAFT_26432,PHATRDRAFT_36256,PHATRDRAFT_20318,PHATRDRAFT_49903,,,
5,0.322300888277157,0.0260833535625866,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365,,,
6,0.322300888277271,0.0260833535628826,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_28068,PHATRDRAFT_20445,PHATRDRAFT_23365,,
7,0.318444382982597,0.0287797315668413,PHATRDRAFT_30519,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_42245,
7,0.32230088827718,0.0260833535627978,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_25572,PHATRDRAFT_23365,
8,0.289654997962296,0.048908593991901,PHATRDRAFT_54219,PHATRDRAFT_30145,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_draft1572,PHATRDRAFT_28191
