Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
2,0.349243166246429,0.0507216153013133,PHATRDRAFT_23908,PHATRDRAFT_20310,,,,,,
2,0.349243166246429,0.0507216153005405,PHATRDRAFT_23908,PHATRDRAFT_23913,,,,,,
2,0.34924316624643,0.050721615301223,PHATRDRAFT_23908,PHATRDRAFT_42245,,,,,,
3,0.349243166246429,0.0507216153012564,PHATRDRAFT_23908,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,,
3,0.349243166246432,0.0507216153013008,PHATRDRAFT_23908,PHATRDRAFT_55192,PHATRDRAFT_35240,,,,,
3,0.34924316624643,0.0507216153014269,PHATRDRAFT_23908,PHATRDRAFT_45947,PHATRDRAFT_28068,,,,,
4,0.353757160153361,0.0286290650111935,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_42245,,,,
4,0.353757160153361,0.0286290650111935,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_42245,,,,
4,0.353757160153361,0.0286290650111935,PHATRDRAFT_49112,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_42245,,,,
4,0.353757160153363,0.0286290650111925,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_46728,,,,
4,0.353757160153361,0.0286290650111901,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
4,0.353757160153363,0.0286290650111925,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_51830,,,,
4,0.353757160153334,0.0286290650112759,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,,
4,0.353757160153363,0.0286290650111925,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_46728,,,,
4,0.353757160153361,0.0286290650111901,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
4,0.353757160153334,0.0286290650112759,PHATRDRAFT_54219,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.353757160153306,0.0286290650111799,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_23913,,,,
4,0.353757160153334,0.0286290650112759,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,,,
4,0.353757160153363,0.0286290650111945,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_42245,,,,
4,0.358978175383343,0.00307618569534289,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
4,0.358978175383425,0.00307618569534359,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_36390,,,,
4,0.353757160153363,0.0286290650111925,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51245,,,,
4,0.358978175383453,0.00307618569534384,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_51830,,,,
5,0.353757160153334,0.0286290650112759,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
5,0.353757160153401,0.0286290650112991,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_23365,,,
7,0.35375716015325,0.028629065011091,PHATRDRAFT_13643,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_31367,Phatr3_EG02101,
7,0.353757160153474,0.0286290650112438,PHATRDRAFT_13643,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_18064,
8,0.353757160153361,0.0286290650111918,PHATRDRAFT_13643,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_25932,PHATRDRAFT_11014,Phatr3_EG02101,PHATRDRAFT_51830
