Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
5,0.359606707775731,0.108241952203905,PHATRDRAFT_45947,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775734,0.108241952203944,PHATRDRAFT_55192,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203873,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_51245,,
5,0.359606707775733,0.108241952203839,PHATRDRAFT_55192,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203715,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_42245,PHATRDRAFT_23830,,
5,0.359606707775733,0.108241952203839,PHATRDRAFT_54219,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203609,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_51830,,
5,0.359606707775734,0.108241952203944,PHATRDRAFT_54219,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203873,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_51830,,
5,0.359606707775732,0.108241952203797,PHATRDRAFT_45947,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203854,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_42245,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203873,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_46728,,
5,0.359606707775732,0.108241952203649,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_20310,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203609,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_51245,,
5,0.359606707775953,0.108241952203902,PHATRDRAFT_49372,PHATRDRAFT_19708,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775733,0.108241952203602,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_19708,PHATRDRAFT_11414,PHATRDRAFT_23830,,
5,0.359606707775731,0.108241952203609,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_46728,,
6,0.325572264956692,0.139157973146647,PHATRDRAFT_30145,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_11414,PHATRDRAFT_19901,PHATRDRAFT_23830,
6,0.359606707775728,0.108241952203615,PHATRDRAFT_49372,PHATRDRAFT_50097,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_11414,PHATRDRAFT_23830,
6,0.359606707775731,0.108241952203819,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_11414,PHATRDRAFT_23830,
7,0.359606707775733,0.10824195220389,PHATRDRAFT_13643,PHATRDRAFT_42015,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_11414,PHATRDRAFT_23830,PHATRDRAFT_44384
