Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
3,0.0288627202518435,0.21283317082983,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_48983,,,,
3,0.0288627202518435,0.21283317082983,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,
3,0.028862720251755,0.212833170829268,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,
3,0.0288627202519129,0.212833170829379,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_50742,,,,
3,0.0625741135217062,0.204462379907114,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,
3,0.0625741135217062,0.204462379907114,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_48078,,,,
3,0.0288627202518853,0.212833170830439,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,,
4,0.0288627202518323,0.212833170830739,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,,,
4,0.0288627202518142,0.212833170827722,PHATRDRAFT_30145,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,,
4,0.0288627202518323,0.212833170830739,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,,
4,0.0625741135218344,0.204462379911236,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_23723,,,
4,0.0835599463165065,0.199251440768409,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_42245,,,
4,0.083559946316618,0.199251440767504,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_31436,,,
4,0.083559946316288,0.199251440766787,PHATRDRAFT_14401,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,,,
4,0.0835599463162786,0.199251440766014,PHATRDRAFT_54478,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,,,
4,0.062574113521671,0.204462379904824,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_35580,,,
5,0.0288627202516632,0.212833170826928,PHATRDRAFT_30145,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,,
5,0.02886272025183,0.212833170830194,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,,
5,0.0625741135218344,0.204462379911236,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_48078,,
5,0.0835599463160014,0.199251440766849,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_11319,,
5,0.0835599463165631,0.199251440766765,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_42245,,
5,0.0835599463163674,0.199251440767841,PHATRDRAFT_14792,PHATRDRAFT_54478,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,,
5,0.0835599463160014,0.199251440766849,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_17720,,
5,0.0835599463164237,0.199251440767244,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_31436,,
5,0.083559946316319,0.199251440768494,PHATRDRAFT_48983,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_23913,,
6,0.0835599463167847,0.199251440769352,PHATRDRAFT_29016,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_19979,PHATRDRAFT_8945,PHATRDRAFT_41686,
7,0.0835599463160014,0.199251440766849,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_29016,PHATRDRAFT_23598,PHATRDRAFT_28191,PHATRDRAFT_23723
7,0.0835599463164237,0.199251440767244,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_23723
