Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.336293586351589,0.114099911985175,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_859,,
3,0.336293586351589,0.114099911985175,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_18064,,
3,0.33629358635159,0.114099911985175,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_42245,,
3,0.336293586351582,0.114099911985173,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_48078,,
3,0.339207663146935,0.0998377331965444,PHATRDRAFT_30145,PHATRDRAFT_16490,PHATRDRAFT_29658,,
3,0.339207663147024,0.0998377331967929,PHATRDRAFT_26290,PHATRDRAFT_16490,PHATRDRAFT_29658,,
3,0.336293586351372,0.114099911985102,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_20310,,
4,0.336762592860943,0.111804483566803,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,PHATRDRAFT_10693,
4,0.336762592860943,0.111804483566803,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,
4,0.336762592860946,0.111804483566804,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,
4,0.345357746466887,0.069737775634622,PHATRDRAFT_54478,PHATRDRAFT_19708,PHATRDRAFT_16490,PHATRDRAFT_29658,
4,0.35080831011808,0.043061432232858,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,
4,0.350808310118246,0.0430614322330207,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,
4,0.354381118482984,0.0255752658572439,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,
4,0.354381118482874,0.0255752658572903,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,
4,0.336762592860946,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,
5,0.336762592861172,0.111804483566879,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367
5,0.347023238950039,0.0615864628062091,PHATRDRAFT_19708,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23723
5,0.347023238950039,0.0615864628062091,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_31436,PHATRDRAFT_10693
5,0.350808310118134,0.0430614322328646,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_18064
