Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860949,0.111804483566805,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860949,0.111804483566805,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.33676259286106,0.111804483566842,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860943,0.111804483566803,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.336762592860943,0.111804483566803,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.342120604941594,0.0855811093692973,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.342120604941479,0.0855811093692686,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.342120604941594,0.0855811093692973,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.350808310118138,0.0430614322328652,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.350808310118138,0.0430614322328652,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.350808310118025,0.0430614322328513,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.350808310118135,0.0430614322328648,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
