Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
3,0.0288627202517057,0.212833170830494,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_50742,,,,,
3,0.0288627202520597,0.212833170828933,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,,,
3,0.0288627202518073,0.212833170829115,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,
3,0.0288627202514819,0.212833170826646,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,
3,0.0288627202514819,0.212833170826646,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_48983,,,,,
3,0.0625741135221053,0.20446237990816,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_48078,,,,,
4,0.0288627202518825,0.212833170835133,PHATRDRAFT_26290,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,
4,0.0835599463159594,0.199251440765506,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_51970,,,,
4,0.0835599463164772,0.199251440767599,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_42245,,,,
4,0.0288627202518825,0.212833170835133,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,
5,0.062574113521674,0.204462379907464,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_22803,PHATRDRAFT_859,,,
5,0.0625741135218836,0.204462379906948,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_20310,,,
5,0.0625741135223631,0.204462379909259,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_19979,PHATRDRAFT_859,,,
6,0.0835599463165551,0.199251440762268,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_19708,PHATRDRAFT_22803,,
7,0.335335061921311,0.118791156505402,PHATRDRAFT_34010,PHATRDRAFT_26290,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,
7,0.335335061921227,0.11879115650526,PHATRDRAFT_34010,PHATRDRAFT_30145,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,
7,0.335335061921239,0.118791156505275,PHATRDRAFT_34010,PHATRDRAFT_30145,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,
8,0.353877340562449,0.0280408737583959,PHATRDRAFT_3046,Phatr3_EG02269,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,Phatr3_EG02101
