Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
3,0.17001948417616,1.25372056425542,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_50742,,,,,
3,0.170019484175785,1.25372056425053,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,,
3,0.167707897925143,1.23667496954904,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,
3,0.167707897924875,1.23667496954737,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,
3,0.342336463243574,1.11859240290219,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,
4,0.167707897924928,1.23667496954632,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,
4,0.337708281408649,1.10346971047579,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,,,,
4,0.337708281408392,1.10346971047557,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_51970,,,,
4,0.359606707775734,0.857494024263023,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_42245,,,,
4,0.342336463243658,1.11859240290248,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_41969,PHATRDRAFT_859,,,,
4,0.359606707775731,0.857494024260842,PHATRDRAFT_48983,PHATRDRAFT_14401,PHATRDRAFT_19708,PHATRDRAFT_8982,,,,
5,0.16770789792536,1.23667496955071,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_51970,,,
5,0.342336463243574,1.11859240290219,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,PHATRDRAFT_48078,,,
5,0.337708281408414,1.10346971047485,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_20310,,,
5,0.3377082814085,1.1034697104756,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_23913,,,
5,0.359606707775787,0.857494024260368,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_23723,,,
6,0.342336463243772,1.11859240290357,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_859,PHATRDRAFT_51970,,
6,0.359606707775682,0.857494024259019,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_19708,PHATRDRAFT_23723,,
6,0.359606707775731,0.857494024260907,PHATRDRAFT_29016,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_42245,,
7,0.359606707775731,0.857494024260968,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_42245,
8,0.359606707775732,0.857494024260624,PHATRDRAFT_40430,PHATRDRAFT_14401,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_8945,PHATRDRAFT_41686
