Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775731,0.0161028308507603,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775782,0.0161028308507626,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.35960670777573,0.0161028308508136,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.359606707775728,0.0100398182257347,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.35960670777573,0.0100398182257367,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
4,0.359606707775591,0.0397962274733308,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,,
4,0.359606707775731,0.0397962274733463,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,
4,0.359606707775591,0.0397962274733308,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,PHATRDRAFT_10693,,
4,0.35960670777573,0.0397962274733435,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,PHATRDRAFT_10693,,
4,0.359606707775731,0.0147138094421173,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775842,0.00865079681710279,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.35960670777573,0.0397962274733435,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
5,0.359606707775733,0.021273220010958,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_10693,
5,0.359606707775745,0.0147138094421179,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_10693,
6,0.35960670777573,0.00545230571073427,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310
