Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775786,0.0483084925522409,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.359606707775783,0.048308492552288,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.359606707775731,0.0483084925523865,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775732,0.0267728486019647,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
2,0.359606707775731,0.0267728486019595,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.359606707775733,0.0483084925522812,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
4,0.359606707775731,0.0596943412100193,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
4,0.359606707775731,0.0596943412098767,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.359606707775728,0.059694341210019,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775728,0.059694341210019,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,,
4,0.359606707775733,0.0476233621388087,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.359606707775731,0.0220707141630957,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,,
4,0.359606707775728,0.0476233621389006,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
5,0.359606707775731,0.0220707141631759,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_10693,
6,0.359606707775731,0.0476233621388091,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_41969,PHATRDRAFT_10693
