Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775842,0.119388682420076,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.119388682420039,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775729,0.119388682420073,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775733,0.0899552395955254,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775569,0.0899552395954866,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0441414283263519,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0441414283263172,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0441414283263518,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0230687915122421,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775729,0.0230687915122497,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775729,0.0230687915122497,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.119388682420039,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0230687915122421,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
