Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
3,0.254314923931413,0.280707345265034,b2914,b4090,b3546,,,
3,0.254314923931413,0.280707345264837,b1054,b2914,b4090,,,
3,0.254314923932265,0.280707345265459,b2914,b4090,b4042,,,
4,0.25199240546176,0.278143799122527,b4388,b0529,b2914,b4090,,
4,0.25199240546176,0.278143799114086,b2913,b0529,b2914,b4090,,
4,0.250686508045204,0.27675828073401,b0910,b0907,b2914,b4090,,
4,0.250722028069757,0.276741584242532,b0910,b2913,b2914,b4090,,
4,0.250722028068637,0.276741583882687,b0910,b4388,b2914,b4090,,
4,0.242759764251211,0.26800714391096,b0907,b2914,b4090,b2285,,
4,0.24219131319449,0.267325564133473,b0910,b2914,b4090,b2285,,
4,0.242792439730726,0.267989074986164,b4388,b2914,b4090,b2285,,
4,0.251956881279241,0.278160774878787,b0907,b0529,b2914,b4090,,
5,0.243695855362257,0.268986245693824,b2066,b0910,b2498,b2914,b4090,
6,0.243695855362257,0.268986245693793,b3831,b0910,b2143,b2498,b2914,b4090
6,0.215376775693522,0.237728255156675,b0767,b1779,b1602,b4388,b2914,b4090
6,0.219817918822929,0.242630292489331,b0910,b2779,b1779,b0507,b2914,b4090
