Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,
8,0.237626860436354,0.103668857094817,YPO0793,YPO2161,YPO3992,YPO0347,YPO3142,YPO3358,YPO3520,YPO0921,,,,,,,
8,0.225182042880182,0.130180919319969,YPO2066,YPO2157,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0439,,,,,,,
8,0.237626860436351,0.103668857091975,YPO2161,YPO3992,YPO0347,YPO3142,YPO3358,YPO3520,YPO0921,YPO3834,,,,,,,
9,0.258705034099699,0.0542838346831331,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO0921,YPO1149,YPO0439,,,,,,
9,0.258705034099699,0.0542838346831331,YPO2066,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO0921,YPO0439,,,,,,
9,0.237626860436347,0.103668857086859,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO3358,YPO2074,YPO0920,,,,,,
9,0.225182042880175,0.130180919316899,YPO2066,YPO2157,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO1171,,,,,,
9,0.240744218986675,0.0949476732922676,YPO2157,YPO3949,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO2533,YPO0439,,,,,,
9,0.240744218986675,0.0949476732927224,YPO2157,YPO3949,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO2067,YPO0439,,,,,,
9,0.240744218986675,0.0949476732927224,YPO3949,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO2067,YPO0921,YPO0439,,,,,,
10,0.240744218986675,0.0949476732926087,YPO2161,YPO0459,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO0440,YPO2067,YPO0921,,,,,
10,0.240744218986675,0.0890012910835241,YPO2157,YPO0461,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO3358,YPO2067,,,,,
10,0.225182042880168,0.130180919307463,YPO2161,YPO1541,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO2067,YPO0921,YPO1171,,,,,
10,0.15411505287016,0.0933306718886797,YPO2157,YPO0918,YPO2161,YPO0254,YPO1845,YPO2552,YPO1109,YPO3142,YPO3520,YPO3834,,,,,
10,0.167356737835564,0.0647160712979939,YPO0461,YPO2161,YPO3992,YPO0347,YPO1845,YPO3142,YPO3376,YPO0920,YPO3834,YPO0442,,,,,
10,0.225182042880168,0.130180919310192,YPO2066,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0440,YPO0921,YPO1171,,,,,
10,0.225275698308174,0.124404570790983,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO1149,,,,,
10,0.240744218986675,0.0949476732926087,YPO3949,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO2533,YPO0921,YPO1171,,,,,
10,0.258705034099702,0.0542838346852932,YPO0918,YPO2161,YPO1541,YPO0254,YPO2288,YPO1109,YPO3142,YPO2067,YPO0921,YPO0439,,,,,
10,0.169128253625684,0.258272322416246,YPO2157,YPO2161,YPO0459,YPO3992,YPO0347,YPO2824,YPO0436,YPO3142,YPO3520,YPO3834,,,,,
10,0.215138937061709,0.15291882021279,YPO1384,YPO0461,YPO0253,YPO2288,YPO2824,YPO0440,YPO3358,YPO3418,YPO2567,YPO1171,,,,,
11,0.23762686043635,0.103668857089133,YPO2614,YPO3827,YPO3992,YPO0347,YPO0254,YPO3080,YPO3142,YPO3358,YPO3376,YPO3520,YPO0442,,,,
11,0.159214344874143,0.275601225084736,YPO1384,YPO0253,YPO3992,YPO0347,YPO2288,YPO2824,YPO0436,YPO3358,YPO3418,YPO3929,YPO2567,,,,
11,0.240744218986675,0.0949476732916992,YPO0461,YPO2161,YPO3992,YPO0347,YPO2288,YPO0436,YPO3142,YPO0440,YPO2067,YPO1133,YPO0442,,,,
11,0.219730127566342,0.142524223503074,YPO2157,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO2295,YPO3358,YPO2559,YPO1149,YPO2836,,,,
12,0.258705034099705,0.0542838346843837,YPO0918,YPO2161,YPO1541,YPO0254,YPO2288,YPO1109,YPO3142,YPO0440,YPO2067,YPO3376,YPO1389,YPO1171,,,
12,0.192894716957719,0.00744922169906204,YPO0461,YPO0918,YPO2161,YPO0254,YPO0465,YPO1845,YPO1109,YPO3142,YPO2074,YPO3520,YPO3117,YPO0921,,,
12,0.169128253625698,0.258272322416701,YPO0793,YPO0461,YPO2614,YPO3992,YPO0347,YPO0254,YPO2824,YPO3142,YPO3376,YPO0920,YPO0439,YPO0442,,,
13,0.252288359484005,0.0688113836448565,YPO0918,YPO2161,YPO0254,YPO2288,YPO1109,YPO3142,YPO0440,YPO3358,YPO2559,YPO3376,YPO0914,YPO1149,YPO2836,,
13,0.279633431006473,0.0069012994916875,YPO0918,YPO2161,YPO0459,YPO0254,YPO3849,YPO0465,YPO2288,YPO1109,YPO3142,YPO2533,YPO1133,YPO0439,YPO0442,,
13,0.279633431006459,0.00690129949157381,YPO0461,YPO0918,YPO2161,YPO0254,YPO0465,YPO2288,YPO1109,YPO3142,YPO2533,YPO1389,YPO1133,YPO3771,YPO0439,,
14,0.258705034099704,0.0542838346835879,YPO0918,YPO2161,YPO1541,YPO0254,YPO2288,YPO1109,YPO3142,YPO0440,YPO3358,YPO2559,YPO2067,YPO3376,YPO3383,YPO0442,
15,0.0705717889989422,0.254944043730575,YPO2157,YPO3949,YPO2161,YPO0091,YPO3992,YPO0347,YPO3080,YPO1845,YPO1511,YPO3034,YPO2824,YPO3142,YPO2067,YPO3520,YPO0138
