Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.0496332615658401,1.97637357481159,TM0273,TM1640,TM1217,,
4,0.0496378006181933,1.97637141414111,TM0209,TM0289,TM1640,TM1217,
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0068,TM1667
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0069,TM1667
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0064,TM1667
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0064,TM0296
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0296,TM0069
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0067,TM1667
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0067,TM0296
5,0.0762576918987961,0.602718224375464,TM1385,TM1640,TM1217,TM0296,TM0068
